Name	Marker	Curated	Queried	Minor_Coefficient	Major_Name	Major_Coefficient	Queried_Name	Raw_Mean_Expression_Subtype_Marker	Raw_Mean_Expression_Majorclass_Marker	feature_length	AC	Astrocyte	BC	Cone	Endothelial	HC	MG	Microglia	Pericyte	RGC	RPE	Rod
AC	Asic2		Queried		AC	0.561310625111394	AC		9.423214	4264.0	9.423214	0.71875	6.370258	0.011719583	0.18197574	1.2222222	0.120709606	0.08448389	0.6302729	8.462527	0.04871795	0.013477488
AC	C1ql1		Queried		AC	0.441689752764998	AC		5.018295	1473.0	5.018295	1.1860119	0.0013794614	0.006605583	0.019930676	8.888889	0.09525646	0.12360289	0.06451613	0.1353811	0.015384615	0.008856635
AC	Dlgap1		Queried		AC	0.343128874575217	AC		6.2501907	17890.0	6.2501907	1.0178572	0.46044815	0.105689324	0.16811092	10.68254	1.9060291	0.07577252	0.16129032	2.8142962	0.4051282	0.011789099
AC	Frmd5		Queried		AC	0.557746911743207	AC		6.016793	7546.0	6.016793	0.21056548	0.4773812	1.8981462	1.745234	2.2142856	1.6138321	0.035996053	0.11414392	0.42797157	0.023076924	0.665936
AC	Gria4		Queried		AC	0.500283671363936	AC		4.0307536	6305.0	4.0307536	0.23586309	0.67897236	0.006179416	0.042461004	7.4444447	2.1156962	0.032380015	0.09181141	2.6235602	0.0076923077	0.010011848
AC	Pcp4		Queried		AC	0.34369216795185	AC		7.4770885	1026.0	7.4770885	1.1480654	6.7336984	0.08438099	0.12478336	0.9444444	0.21468055	0.71005917	0.19851117	22.303766	0.06666667	0.14235783
AC	Prkg1		Queried		AC	0.348292893718024	AC		4.6518354	11036.0	4.6518354	0.36458334	11.2458725	0.009801833	5.5242634	1.7142857	18.361229	0.108645625	12.059553	0.34477577	0.012820513	0.011670616
AC	Synpr		Queried		AC	0.593647290678456	AC		5.27959	9439.0	5.27959	0.38988096	0.7450916	0.012571916	0.072790295	0.14285715	15.697004	0.11406969	0.104218364	2.1467364	0.020512821	0.012648105
AC1	Bhlhe22		Queried	0.750527324649728	AC		AC_1	4.1663127		3344.0	0.8938764	0.23809524	0.053273484	0.0019177499	0.055459272	0.0	0.04113639	0.008382643	0.13895781	0.05484846	0.0	0.0017476303
AC1	Fgf14		Queried	0.413553878541178	AC		AC_1	5.1731095		4182.0	3.1583977	0.34077382	0.13392453	0.0031962497	0.019064125	0.11111111	0.425376	0.024819197	0.10669975	5.1867003	0.0025641026	0.005035545
AC1	Lingo2		Queried	0.597792700244748	AC		AC_1	7.115973		8297.0	3.97683	0.15476191	0.044405516	0.008097166	0.010398613	1.6428572	0.030723743	0.02695595	0.05955335	7.758647	0.0	0.0071386257
AC1	Ptn	Curated	Queried	0.863407807778433	AC		AC_1	4.4562445		3433.0	1.1100141	16.252975	0.012130502	0.01598125	4.969671	0.0952381	7.4873376	0.19049968	2.3002481	1.5854096	0.03846154	0.010959716
AC1	Rbfox1		Queried	0.561531625451876	AC		AC_1	9.738955	5.628321	4400.0	5.628321	0.4122024	0.08211079	0.3383763	0.022530328	0.2936508	0.07648798	0.13856016	0.09181141	13.777289	0.0051282053	0.077221565
AC1	Slit2		Queried	0.814131390923741	AC		AC_1	6.8079863		25433.0	1.8364563	0.20684524	5.18095	0.007244833	0.08318891	0.2857143	0.0940995	0.027613413	0.052109182	1.0054734	0.017948719	0.0119668245
AC1	Stmn1		Queried	0.414927419045608	AC		AC_1	6.531861	4.4844756	1922.0	4.4844756	0.77306545	0.83833295	0.116130404	0.66551125	1.3412699	2.3188071	0.8200197	0.12655087	21.688866	0.1923077	0.079087675
AC1	Tenm2		Queried	0.579669466972094	AC		AC_1	6.9277825		11474.0	3.8992195	0.2909226	8.286906	0.011719583	0.09098787	0.12698413	2.3940096	0.047008548	0.14640199	7.9864554	0.017948719	0.010693128
AC1	Tenm3		Queried	0.658799110910042	AC		AC_1	5.611725		10237.0	1.6740699	0.89657736	6.821079	0.27807373	0.064124785	0.023809524	0.5915927	0.025641026	0.13151364	3.2724288	0.020512821	0.022748815
AC1	Unc5d		Queried	0.457447491563776	AC		AC_1	5.3200936		9220.0	2.159604	0.12127976	3.8372016	3.0918388	0.036395147	0.14285715	0.030209538	0.023339909	0.022332506	1.7022139	0.0051282053	0.05625
AC10	Cntn6	Curated	Queried	0.889469515668466	AC		AC_10	5.270238		6499.0	0.58148867	0.2544643	0.8862273	0.0023439166	0.009532062	0.023809524	0.078159146	0.010026298	0.017369727	0.6245732	0.0025641026	0.0025473933
AC10	Grik2		Queried	0.636300197624468	AC		AC_10	6.4238095		13246.0	1.9756482	1.6956846	0.10814539	0.0036224164	0.026863085	2.079365	0.09589922	0.021531887	0.10173697	0.7704272	0.015384615	0.0064277253
